name,LogFC,mean_pg,mean_control,f,f_WT,delta,delta_WT,delta_WT_norm,pvalue,pvalue_WT,padj,padj_WT,exp
CCC1,0.1678605719842019,3.060645247817903,2.8927846758337012,0.058027330339000927,0.0737171126230316,0.1678605719842019,0.26412602660933837,2.743725956916333,0.8507315203410206,0.7681133123150881,0.9954936997189089,0.999525168978149,pg_pd
CCE1,-0.6579356733823927,3.2516230172169474,3.90955869059934,-0.16828898744106854,-0.15259920515703787,-0.6579356733823927,-0.5616702187572562,-5.834597893340183,0.7645899940705022,0.7978758882857698,0.9954936997189089,0.999525168978149,pg_pd
CCH1,1.2242692107256619,3.172802660024974,1.9485334492993123,0.6283028968098577,0.6439926790938885,1.2242692107256619,1.3205346653507983,13.717638071653436,0.14472386854211053,0.12325686598398095,0.9954936997189089,0.999525168978149,pg_pd
CCP1,-0.2644894366602717,4.691300035944096,4.955789472604367,-0.053369788632541965,-0.03768000634851129,-0.2644894366602717,-0.16822398203513522,-1.7475010396014814,0.5932567419630213,0.7304360066445159,0.9954936997189089,0.999525168978149,pg_pd
CCS1,1.340138186204109,3.9694389670802144,2.6293007808761053,0.5096937543058743,0.525383536589905,1.340138186204109,1.4364036408292455,14.921278317571849,0.1375706701471315,0.11804518326776134,0.9954936997189089,0.999525168978149,pg_pd
CCW14,0.27046669575563786,4.878065541838272,4.6075988460826345,0.058700139658552905,0.07438992194258358,0.27046669575563786,0.36673215038077434,3.809592462933371,0.3775323372305662,0.25138496775834046,0.9954936997189089,0.999525168978149,pg_pd
CCW22,-0.29146555869594604,5.101130188350756,5.392595747046702,-0.05404921347118769,-0.03835943118715701,-0.29146555869594604,-0.19520010407080957,-2.0277274421123406,0.5129655058296687,0.6551548965530816,0.9954936997189089,0.999525168978149,pg_pd
CDA2,2.877448891392807,7.921492177470029,5.044043286077222,0.5704647498436941,0.5861545321277248,2.877448891392807,2.9737143460179434,30.890773409815264,0.002320930556535386,0.0021261727336567967,0.2542208753182894,0.2515533587852072,pg_pd
CDC73,1.0428197721241173,0.7767566437075387,-0.2660631284165784,3.919444901404606,3.9351346836886365,1.0428197721241173,1.1390852267492537,11.832751750718062,0.3342319615247589,0.3005839827767626,0.9954936997189089,0.999525168978149,pg_pd
CEM1,0.8921580642097647,0.6260949357931863,-0.2660631284165784,3.353181891528019,3.3688716738120497,0.8921580642097647,0.9884235188349012,10.267686603505718,0.3179997339098154,0.27902350941996484,0.9954936997189089,0.999525168978149,pg_pd
