name	pd1	pd2	pd3	pg1	pg2	pg3	rd1	rd2	rd3	rg1	rg2	rg3	yd1	yd2	yd3	yg1	yg2	yg3
RPS30A	195	90	189	84	124	155	83	96	95	186	96	614	305	336	315	520	798	434
RPS30B	433	442	428	231	229	318	170	221	389	292	313	467	1187	923	975	462	531	220
RPS4A	67	22	80	38	35	17	33	38	36	62	23	39	600	551	501	61	152	84
RPS6A	0	0	0	0	0	1	0	0	2	2	3	0	65	73	42	2	18	2
RPS6B	4	0	0	4	0	0	38	0	0	8	0	0	86	92	46	27	14	2
RPS7A	0	0	0	0	0	0	0	0	0	0	0	0	2	25	3	0	2	2
RPS7B	5	2	0	4	0	0	0	2	3	0	2	0	10	0	10	0	0	2
RPS8A	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS9A	1	0	1	0	0	1	1	1	0	0	0	3	1	1	0	2	1	0
RPS9B	0	0	0	0	0	0	0	0	0	0	0	0	9	32	8	2	3	0
RQC1	1084	1260	1503	1467	1333	969	1918	975	862	1527	1322	1560	2436	1729	1655	1578	1763	743
RRD1	38	18	80	32	34	21	10	14	25	29	31	46	36	17	24	41	50	41
RRD2	159	570	167	105	306	117	181	321	181	125	316	173	374	611	237	245	435	82
RRG1	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0
RRI2	404	1045	2295	462	1029	741	447	697	890	516	887	1041	667	595	497	638	1251	505
RRM3	107	420	562	70	351	247	16	224	286	72	306	381	281	378	223	354	1101	371
RRN9	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
RRP8	0	86	27	6	35	31	17	59	44	29	22	54	150	428	145	142	542	112
RRT12	816	1404	1525	669	691	608	510	963	573	967	969	663	926	953	651	1097	1260	428
RRT13	83	12	27	34	17	5	29	7	16	34	19	43	170	164	76	21	39	28
RRT16	1312	900	1918	401	459	909	524	543	1048	493	562	1034	585	348	391	707	1159	727
RRT2	0	171	0	1	52	0	0	28	1	2	67	1	110	230	158	72	132	24
RRT6	316	476	674	254	228	126	475	334	218	423	288	363	1485	1143	1159	385	442	167
RRT7	70	44	38	2629	1076	677	73	17	4	2499	979	1544	2156	1421	2018	1410	1326	593
RSA3	2	0	0	14	0	5	33	0	0	37	0	0	118	157	99	39	24	10
RSA4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RSB1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
RSC9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RSF1	10	20	124	20	7	21	33	34	37	44	22	40	158	126	70	69	38	17
RSF2	1073	990	708	1078	987	448	931	518	623	1011	766	762	868	580	700	863	919	531
RSM19	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
RSM22	0	0	0	28	0	1	0	0	32	40	4	13	54	117	43	7	26	2
RSM24	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
RSM25	53	60	68	1091	1431	472	23	34	33	877	1240	1029	1180	892	1029	1133	1393	552
RSM26	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RSO55	193	61	516	88	79	85	158	97	207	128	88	255	549	366	291	226	244	131
RSR1	1091	485	728	740	536	654	892	357	788	961	449	926	1434	977	1155	901	738	324
RTA1	24	22	2	82	10	48	17	27	22	118	10	47	320	266	249	55	83	46
RTC1	270	61	4	48	34	40	127	83	43	32	32	56	356	439	249	59	58	21
RTC2	6	50	21	98	34	37	22	29	54	113	12	33	315	418	316	51	47	22
RTC3	0	92	10	39	107	38	60	35	21	63	147	63	165	94	103	84	110	55
RTC4	253	182	292	174	200	154	187	185	51	147	220	173	836	622	602	170	223	84
RTC5	0	2	4	2	1	2	0	0	1	0	0	0	2	0	0	2	2	0
RTC6	40	42	58	1443	1031	349	37	6	14	1188	925	855	1803	1198	1492	919	1026	463
RTG2	0	6	1	2	90	13	0	4	13	8	95	13	256	295	233	26	92	31
RTG3	33	6	18	33	22	2	21	8	1	15	41	1	191	134	135	41	35	22
RTK1	142	794	878	238	386	433	386	415	427	250	353	485	823	644	706	593	753	249
RTN1	172	79	28	180	170	9	88	31	0	206	113	13	994	819	739	147	221	91
RTN2	228	229	310	283	105	160	257	126	208	301	136	205	1419	1057	1159	360	392	160
RTR1	551	240	666	242	172	90	232	158	215	277	216	122	1669	1497	1201	438	514	141
RTR2	272	1400	1823	261	619	471	579	476	730	330	739	738	887	843	593	613	1236	376
RTS1	0	0	0	0	0	0	0	0	0	0	0	0	4	33	7	2	6	0
RTS3	1184	790	410	395	753	238	469	573	399	485	756	441	2906	2180	2190	751	785	327
RTT10	260	253	286	173	201	164	320	253	215	193	231	245	511	692	320	242	640	139
RTT101	46	73	22	43	18	8	96	66	12	35	9	9	397	363	223	90	149	53
RTT102	27	19	20	17	3	4	26	9	16	18	2	14	84	33	69	31	18	19
RTT103	0	0	0	0	0	0	0	0	1	0	0	0	4	2	0	0	0	0
RTT107	40	101	37	264	47	41	102	256	77	268	49	95	276	187	149	133	105	57
RTT109	0	0	0	0	1	0	2	0	0	2	0	1	62	93	37	16	70	22
RUD3	387	165	315	72	86	135	264	147	318	147	92	160	530	496	481	172	296	82
RVS161	0	0	0	0	24	0	0	0	0	0	32	0	16	74	17	15	138	48
RVS167	185	153	441	169	103	81	266	62	130	177	90	116	710	594	491	173	233	95
RXT3	392	188	262	242	149	140	362	82	194	318	109	184	841	616	634	315	287	189
SAC1	0	0	0	0	3	1	0	0	0	1	0	0	42	100	26	2	22	0
SAC7	0	0	2	0	0	0	0	0	0	2	0	0	2	10	4	0	2	0
SAE2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0
SAE3	521	431	981	365	267	349	623	354	398	477	274	525	1972	1508	1556	456	453	223
SAF1	769	445	192	447	273	119	548	285	142	497	204	194	711	546	648	244	267	107
SAG1	0	0	6	2	3	15	0	3	35	3	1	2	307	291	182	41	73	18
SAK1	1487	940	1547	683	586	380	760	723	357	639	668	465	1432	1010	952	631	596	268
SAM1	70	10	0	68	22	0	18	0	0	80	15	1	168	145	144	46	46	22
SAM2	430	425	355	270	241	283	437	215	402	361	224	526	2562	1847	2037	593	556	285
SAM3	1836	1492	1937	1347	901	1002	1673	967	1186	1739	821	1335	2982	2006	2361	2053	1562	850
SAM37	1	0	0	1	0	0	1	0	2	1	0	1	9	67	26	12	16	4
SAN1	935	370	163	382	299	116	846	343	44	566	283	121	1186	894	848	460	385	162
SAP185	1967	3850	4396	2397	3524	2267	2353	2392	2601	2382	3372	3465	2961	2104	2383	2869	3737	1875
SAP190	418	436	107	319	246	109	407	337	166	427	224	548	298	232	195	297	447	165
SAP30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SAS2	0	0	0	0	2	0	0	0	0	2	0	0	0	8	4	2	0	0
SAS4	698	1422	1799	410	1256	689	465	826	746	451	1109	864	628	647	511	621	1513	582
SAS5	0	66	18	19	37	1	10	25	15	6	22	13	196	118	134	49	69	21
SAT4	390	383	517	653	548	497	369	474	604	564	630	739	1007	720	969	984	864	511
SAW1	6771	4683	11808	5791	3832	4956	4367	2776	4560	6078	3949	8572	3359	2545	3517	5355	4980	3906
SAY1	1173	139	690	362	93	255	422	30	339	354	126	313	1311	1147	1132	419	405	165
SBA1	605	375	302	503	294	273	881	123	347	731	361	319	985	679	724	516	520	269
SBE2	165	59	114	63	31	38	158	54	31	99	66	97	418	248	277	102	87	45
SBE22	453	1142	584	265	312	192	162	176	239	324	270	344	727	462	423	468	619	243
SBH1	2212	1721	2236	1777	1752	1131	2040	1258	1352	1849	1640	1938	3977	3072	3219	2469	2731	1287
