name,delta,SE_delta,t_stat,df,pvalue,padj
DAP2,-0.20370450559123476,0.1239247199436278,-1.6437762028746004,6.897594249155598,0.1448582533138051,0.999940343744442
MUP3,-0.5834498352852613,0.35436844609786544,-1.6464497381466372,6.6528051854339525,0.14589851390575972,0.999940343744442
GID12,1.9322410256202085,0.9374193529181516,2.0612344087042946,2.5813553566679786,0.1459676888148607,0.999940343744442
MSS11,0.9427813969520211,0.5635017643335851,1.6730762113353523,5.823430113017457,0.14683946199957587,0.999940343744442
MLH1,2.81345969709528,1.5199506800316172,1.8510203877383418,3.5021202929995288,0.14792441347096183,0.999940343744442
PLB2,-0.24841705279915338,0.1431195801002787,-1.7357307268865418,4.618189428370771,0.14795887902484328,0.999940343744442
CMK2,1.3488895162561207,0.8191371868915741,1.646719911929316,6.157389807942703,0.14944918776683508,0.999940343744442
YCR102W-A,1.2306073532769286,0.7602107897866933,1.6187712274147323,6.952101101336136,0.1498237744457041,0.999940343744442
MET32,0.41369957080439956,0.25273532739476057,1.6368885785334653,6.327360793352023,0.15020532228536135,0.999940343744442
ASG1,0.6998895814652544,0.42719201148538094,1.6383489453177789,6.222673424524546,0.15068993593412874,0.999940343744442
KDX1,0.7010309516264419,0.413130776194258,1.6968741909869494,4.935154848939449,0.1512513035908853,0.999940343744442
UBP9,1.1962581842088076,0.7416923298993723,1.6128765742678068,6.92412242755722,0.15127490676509064,0.999940343744442
PSR1,0.6169705830761858,0.37992783294151505,1.623915200682758,6.398984673697279,0.15243183013252037,0.999940343744442
PHO2,2.5726653116074147,1.4762413415034725,1.7427132266782972,4.168781929120556,0.15343376760092256,0.999940343744442
YAP3,-0.4895218162709707,0.29553392626701064,-1.6563980401650902,5.466678104999667,0.15353020225374045,0.999940343744442
YAT1,0.8617027544767266,0.539989384784348,1.5957772111036204,7.022751685054821,0.15443053067969548,0.999940343744442
STE7,0.6202139299831264,0.3875955761033616,1.6001574017391045,6.6155486729922135,0.1560762477978889,0.999940343744442
YNL146W,0.8698317157611708,0.5463489783873029,1.5920807948222304,6.877112221784658,0.15615667023817242,0.999940343744442
YOR365C,-0.9048676990231597,0.5620561008887659,-1.6099241652075549,6.289112298282412,0.15626711339484484,0.999940343744442
GMC2,-1.3841168559783408,0.8245787922386588,-1.6785744055102185,4.795587289742422,0.15656500253205546,0.999940343744442
MRX19,-0.5089468797094128,0.2973882441595566,-1.7113886971145684,4.3142874876598265,0.15694030579493573,0.999940343744442
ATG18,0.4741033761684301,0.2909762753844517,1.629354061742739,5.616827377648757,0.15772337582024873,0.999940343744442
TRS85,1.6411861153428262,1.0091704599666211,1.6262724489548668,5.543768302118733,0.15906980308091026,0.999940343744442
MGR3,2.470694209460008,1.5296193321356524,1.615234691111303,5.801338100585722,0.15907548635765048,0.999940343744442
UPA1,0.5034686249935065,0.3103932156818813,1.6220348885122096,5.611458698069757,0.15933349412279774,0.999940343744442
HOM2,-0.9539949929803406,0.574262706922201,-1.6612518651843855,4.824919167175321,0.1596727499100698,0.999940343744442
YIL014C-A|YIL015C-A,-0.17595437859397656,0.1031601401020874,-1.7056430751242861,4.185665942271541,0.16008967159461032,0.999940343744442
HXT5,1.046903450330639,0.6613948948145928,1.5828719854635631,6.240465944652939,0.16263927124045185,0.999940343744442
YIL092W,-0.2594356338930197,0.15696550891804095,-1.6528193721111255,4.711693346496819,0.1628425935130061,0.999940343744442
GAL7,-0.33706493991628683,0.2067918714939466,-1.6299719011254934,5.022545002126158,0.16377416607769113,0.999940343744442
SNA4,0.2375002022098318,0.1520545816134601,1.5619404538140396,6.734592688393941,0.1639487216576331,0.999940343744442
BNA4,-0.9101205549339952,0.5503331899974842,-1.6537627958403815,4.567486007904746,0.1645932595136457,0.999940343744442
KAR9,0.8652198036943219,0.5588035338813341,1.5483434717827993,6.8268768087170475,0.16654433485702363,0.999940343744442
RPL41A,-0.5662111788839468,0.33691015709288796,-1.6805999076122815,4.083354471661092,0.16667651334475725,0.999940343744442
YPT52,-0.6877196867018434,0.43507290321372727,-1.5806998818402733,5.76882782186105,0.16699799478075386,0.999940343744442
YOL131W,-2.6365095359933277,1.57125581361876,-1.677963265524015,4.087272639223223,0.16713051728567896,0.999940343744442
