gene_id	go_term
MATA1	GO:0022414
MATA1	GO:0030674
MATA1	GO:0031323
MATA1	GO:0031326
MATA1	GO:0032502
MATA1	GO:0032774
MATA1	GO:0034641
MATA1	GO:0034654
MATA1	GO:0043170
MATA1	GO:0043226
MATA1	GO:0043227
MATA1	GO:0043229
MATA1	GO:0043231
MATA1	GO:0044237
MATA1	GO:0044238
MATA1	GO:0044249
MATA1	GO:0044271
MATA1	GO:0046483
MATA1	GO:0050789
MATA1	GO:0050794
MATA1	GO:0051171
MATA1	GO:0051252
MATA1	GO:0060090
MATA1	GO:0060255
MATA1	GO:0065007
MATA1	GO:0071704
MATA1	GO:0080090
MATA1	GO:0090304
MATA1	GO:0110165
MATA1	GO:0140110
MATA1	GO:1901360
MATA1	GO:1901362
MATA1	GO:1901576
MATA1	GO:2001141
MATA2	GO:0003674
MATA2	GO:0005575
MATA2	GO:0008150
MATALPHA	NA
MEL1	GO:0003674
MEL1	GO:0003824
MEL1	GO:0004553
MEL1	GO:0004557
MEL1	GO:0005575
MEL1	GO:0005576
MEL1	GO:0005975
MEL1	GO:0005984
MEL1	GO:0005994
MEL1	GO:0005995
MEL1	GO:0008150
MEL1	GO:0008152
MEL1	GO:0009056
MEL1	GO:0009311
MEL1	GO:0009313
MEL1	GO:0015925
MEL1	GO:0016052
MEL1	GO:0016787
MEL1	GO:0016798
MEL1	GO:0044238
MEL1	GO:0046352
MEL1	GO:0071704
MEL1	GO:0110165
MEL1	GO:1901575
MEL10	GO:0003674
MEL10	GO:0003824
MEL10	GO:0004553
MEL10	GO:0004557
MEL10	GO:0005575
MEL10	GO:0005975
MEL10	GO:0005984
MEL10	GO:0005994
MEL10	GO:0005995
MEL10	GO:0008150
MEL10	GO:0008152
MEL10	GO:0009056
MEL10	GO:0009311
MEL10	GO:0009313
MEL10	GO:0015925
MEL10	GO:0016052
MEL10	GO:0016787
MEL10	GO:0016798
MEL10	GO:0044238
MEL10	GO:0046352
MEL10	GO:0071704
MEL10	GO:1901575
MEL2	GO:0003674
MEL2	GO:0003824
MEL2	GO:0004553
MEL2	GO:0004557
MEL2	GO:0005575
MEL2	GO:0005975
MEL2	GO:0005984
MEL2	GO:0005994
MEL2	GO:0005995
MEL2	GO:0008150
MEL2	GO:0008152
MEL2	GO:0009056
MEL2	GO:0009311
MEL2	GO:0009313
MEL2	GO:0015925
MEL2	GO:0016052
MEL2	GO:0016787
MEL2	GO:0016798
MEL2	GO:0044238
MEL2	GO:0046352
MEL2	GO:0071704
MEL2	GO:1901575
MEL3	GO:0003674
MEL3	GO:0003824
MEL3	GO:0004553
MEL3	GO:0004557
MEL3	GO:0005575
MEL3	GO:0005975
MEL3	GO:0005984
MEL3	GO:0005994
MEL3	GO:0005995
MEL3	GO:0008150
MEL3	GO:0008152
MEL3	GO:0009056
MEL3	GO:0009311
MEL3	GO:0009313
MEL3	GO:0015925
MEL3	GO:0016052
MEL3	GO:0016787
MEL3	GO:0016798
MEL3	GO:0044238
MEL3	GO:0046352
MEL3	GO:0071704
MEL3	GO:1901575
MEL4	GO:0003674
MEL4	GO:0003824
MEL4	GO:0004553
MEL4	GO:0004557
MEL4	GO:0005575
MEL4	GO:0005975
MEL4	GO:0005984
MEL4	GO:0005994
MEL4	GO:0005995
MEL4	GO:0008150
MEL4	GO:0008152
MEL4	GO:0009056
MEL4	GO:0009311
MEL4	GO:0009313
MEL4	GO:0015925
MEL4	GO:0016052
MEL4	GO:0016787
MEL4	GO:0016798
MEL4	GO:0044238
MEL4	GO:0046352
MEL4	GO:0071704
MEL4	GO:1901575
MEL5	GO:0003674
MEL5	GO:0003824
MEL5	GO:0004553
MEL5	GO:0004557
MEL5	GO:0005575
MEL5	GO:0005975
